Name,RA,DEC
TIC101929303,19.951591,35.988359
TIC122220263,19.334730,36.637772
TIC13419950,20.352623,41.462365
TIC138361973,19.584332,37.538601
TIC142276270,12.812327,64.855277
TIC147576037,9.622760,68.458703
TIC147950620,11.188097,69.964773
TIC148914726,12.470393,67.24003
TIC15247229,20.448723,38.932269
TIC154089169,13.947814,68.618204
TIC158002130,14.303713,82.193773
TIC158276040,19.103337,44.080803
TIC158324245,19.131411,46.868275
TIC159510109,16.502316,80.307756
TIC160268701,12.169245,77.352263
TIC16102323,20.489108,37.508561
TIC161450762,20.618393,32.471081
TIC16740101,20.523993,39.938913
TIC169177766,19.820003,41.326844
TIC198213332,16.562236,61.718333
TIC202563254,20.268956,31.925686
TIC203189770,20.320002,32.581045
TIC21755546,19.485787,30.297329
TIC229510866,19.814388,64.354351
TIC230088370,16.490446,71.505872
TIC232967440,13.178872,70.768024
TIC232967666,13.210160,71.618138
TIC233087860,18.146930,60.678188
TIC237184773,18.899318,37.380642
TIC237185205,18.901780,37.720015
TIC24364065,19.408031,33.273702
TIC258777137,19.116476,71.712375
TIC267489265,19.918752,54.781448
TIC28230919,19.847343,48.081831
TIC284450803,19.380598,56.615388
TIC287196418,19.515609,59.403853
TIC288185138,14.856097,82.952254
TIC289539327,16.775565,65.71503
TIC294176967,20.053674,52.040842
TIC302518439,8.941336,72.533275
TIC30329585,19.282579,31.32358
TIC320525204,17.664103,56.078972
TIC341544930,13.440978,65.306343
TIC349827430,10.793937,71.655732
TIC350995812,19.461428,36.529899
TIC359496368,18.606733,55.391787
TIC372757221,10.859545,81.322175
TIC379931600,19.561824,29.596295
TIC41330864,20.114031,38.431024
TIC458478250,15.476443,66.358711
TIC459970307,16.994936,64.699211
TIC48188920,18.828054,48.098942
TIC69679391,19.644094,31.219201
TIC69997672,19.654939,31.958041
TIC83210867,19.830629,34.829665
TIC89389197,20.078512,30.409949
TIC89510024,20.087851,30.670696
TIC89643259,20.094059,33.049205
TIC99869022,11.125377,61.352577
TIC101037590,3.632059,33.079897
TIC102672709,4.115409,66.119599
TIC103448870,4.455666,73.023689
TIC103633434,10.147884,69.27662
TIC11111899,20.254989,36.651807
TIC115771549,22.654394,33.889459
TIC116483514,15.529736,47.055551
TIC116483734,15.537722,47.860746
TIC116608612,5.710881,35.185708
TIC117322779,3.223484,49.783757
TIC118301361,2.279724,29.570473
TIC119700084,22.216878,37.627574
TIC120602501,22.512454,40.003763
TIC120757718,19.069392,36.632536
TIC120960812,19.109226,39.487904
TIC121966220,5.053188,41.785784
TIC122485078,5.123419,36.275085
TIC125442121,23.438648,38.55294
TIC125735470,3.777352,27.471526
TIC127425841,0.402041,40.165571
TIC128501004,22.602228,37.841042
TIC129539786,22.930241,39.645117
TIC129979528,2.447516,37.550444
TIC129991079,2.475494,40.891254
TIC13499636,21.346794,28.055829
TIC13684720,20.369217,36.064784
TIC136848581,21.183193,43.551895
TIC136971594,21.197741,43.592849
TIC137284119,21.215677,46.26809
TIC138017750,3.386743,33.078133
TIC138168780,6.319530,73.827567
TIC138588540,11.758706,65.541314
TIC138968089,19.673406,40.986723
TIC139375960,2.557438,41.013432
TIC1400770435,17.664103,56.078974
TIC142394656,13.225906,62.30538
TIC148782377,14.602470,42.378458
TIC153949511,11.516520,66.796529
TIC153951307,13.425489,68.836068
TIC153976959,13.569196,67.62123
TIC154383539,14.373477,55.334259
TIC155005217,23.016255,42.549318
TIC155114483,23.049897,44.564848
TIC15565627,20.467776,39.87713
TIC156724719,4.802121,39.966936
TIC157586003,18.617498,40.018691
TIC158025009,14.461566,41.952986
TIC158170594,19.074020,43.680961
TIC158561566,19.180588,47.33305
TIC159107668,19.315982,44.647347
TIC160487753,15.868787,74.406742
TIC162130054,22.074514,31.018767
TIC163539739,21.365230,35.648625
TIC164150539,22.383571,30.572726
TIC164173105,22.388354,35.03492
TIC165523947,21.120926,40.167172
TIC165551882,17.784489,57.226662
TIC167092385,21.248308,38.094232
TIC167098530,21.241807,40.017017
TIC167403519,21.288334,38.104855
TIC1717732429,18.831636,55.26639
TIC1718201850,19.116437,71.712195
TIC173612049,23.238763,44.508759
TIC176860064,23.655777,45.719851
TIC176899385,23.651606,42.465987
TIC177244357,23.799713,47.655601
TIC184679932,2.152941,40.401942
TIC185405474,20.114512,45.499227
TIC186000935,20.204865,44.495878
TIC186599508,3.005898,39.068266
TIC187029841,2.303731,38.478824
TIC1884091865,19.340591,61.085447
TIC188768068,17.423306,52.790472
TIC190430205,21.661501,46.220215
TIC190442486,21.662371,41.950794
TIC190743990,21.719141,45.646806
TIC190998418,0.470262,42.061345
TIC191146556,0.553625,46.340305
TIC191284318,0.638202,42.463096
TIC192372961,3.039891,43.183802
TIC194203348,0.079788,41.59388
TIC195199644,20.902432,37.789356
TIC197650870,22.447005,52.227842
TIC198186769,16.387867,62.925121
