Time  RA DEC freqrng dur 
07:30:00 53.247366 54.41084884 110e6:190e6   3m
07:34:00 352.016670  75.552607  110e6:190e6  15m
07:50:00 354.741585  75.685232  110e6:190e6  15m
08:06:00   5.420655  77.880071  110e6:190e6  15m
08:22:00  16.184940  74.331306  110e6:190e6  15m
08:38:00  17.915010  79.165492  110e6:190e6  15m
08:54:00  26.338965  77.790123  110e6:190e6  15m
09:10:00  44.338875  76.551405  110e6:190e6  15m
09:26:00  48.370425  75.268379  110e6:190e6  15m
09:42:00  62.572980  75.170931  110e6:190e6  15m
09:58:00  66.834990  73.023689  110e6:190e6  15m
10:14:00  79.073505  79.737727  110e6:190e6  15m
10:30:00  81.240225  79.749340  110e6:190e6  15m
10:46:00  94.283835  76.211020  110e6:190e6  15m
