Name 	      Time      RA        DEC       freqrng      dur 
B0329+54      07:30:00  0.929341  0.949648  110e6:190e6   3m
TIC317397615  07:34:00  6.105098  1.309309  110e6:190e6  15m
TIC428988981  07:50:00  6.113070  1.386521  110e6:190e6  15m
TIC317507345  08:06:00  6.129155  1.354849  110e6:190e6  15m
TIC317597583  08:22:00  6.143850  1.318642  110e6:190e6  15m
TIC427730490  08:38:00  6.148354  1.248023  110e6:190e6  15m
TIC367858035  08:54:00  6.191409  1.320956  110e6:190e6  15m
TIC407394748  09:10:00  0.094608  1.359264  110e6:190e6  15m
TIC435680451  09:26:00  0.312676  1.381698  110e6:190e6  15m
TIC395393265  09:42:00  0.459702  1.357694  110e6:190e6  15m
TIC396562848  09:58:00  0.773859  1.336074  110e6:190e6  15m
TIC142090065  10:14:00  1.380093  1.391686  110e6:190e6  15m
TIC142117976  10:30:00  1.417909  1.391889  110e6:190e6  15m
TIC445805961  10:46:00  1.645563  1.330133  110e6:190e6  15m
