Name,RA(J2000 rads),DEC(J2000 rads),Obs Date
TIC317597583,6.14385,1.318642,07/07/2021
TIC427730490,6.148354,1.248023,07/07/2021
TIC367858035,6.191409,1.320956,07/07/2021
TIC407394748,0.094608,1.359264,07/07/2021
TIC435680451,0.312676,1.381698,07/07/2021
TIC395393265,0.459702,1.357694,07/07/2021
TIC396562848,0.773859,1.336074,07/07/2021
TIC142090065,1.380093,1.391686,07/07/2021
TIC142117976,1.417909,1.391889,07/07/2021
TIC445805961,1.645563,1.330133,07/07/2021
TIC372757221,2.843022,1.41934,08/07/2021
TIC288132261,3.656191,1.388991,08/07/2021
TIC158002130,3.744703,1.434552,08/07/2021
