Name,RA,DEC,Distance (Pc),EO(I),AO(I),EO(SE),AO(SE),Fraction of observable time (SE),Fraction of observable time (SE)
TIC407394748,0.361377,77.880071,,True,True,True,False,0.9414893617021277,0.9414893617021277
TIC435680451,1.194334,79.165492,175.0731,True,True,True,True,1.0,1.0
TIC395393265,1.7559310000000001,77.790123,305.6422,True,True,True,False,0.9574468085106383,0.9574468085106383
TIC396562848,2.955925,76.551405,18.2372,True,True,True,False,0.7712765957446809,0.7712765957446809
TIC420645189,3.224695,75.26837900000001,159.2179,True,True,True,False,0.6170212765957447,0.6170212765957447
TIC103195323,4.171532,75.17093100000001,382.8337,True,False,True,False,0.6276595744680851,0.6276595744680851
TIC142090065,5.271567,79.737727,,True,True,True,True,1.0,1.0
TIC142117976,5.416015,79.74934,110.5278,True,True,True,True,1.0,1.0
TIC445805961,6.285589,76.21101999999999,81.418,True,False,True,False,0.7978723404255319,0.7978723404255319
TIC138168780,6.31953,73.827567,237.062,True,False,True,False,0.5425531914893617,0.5425531914893617
TIC137500798,8.842334,82.92712,338.7878,True,True,True,True,1.0,1.0
TIC142748283,10.107913,74.827211,,True,False,True,False,0.723404255319149,0.723404255319149
TIC372757221,10.859544999999999,81.322175,222.3309,True,True,True,True,1.0,1.0
TIC900715901,11.599103,75.54662900000001,,True,False,True,False,0.8351063829787234,0.8351063829787234
TIC365938305,12.048433000000001,74.061009,93.4798,True,False,True,False,0.6914893617021277,0.6914893617021277
TIC160268701,12.169245,77.352263,193.0278,True,False,True,True,1.0,1.0
TIC154568734,12.753193,72.12308399999999,103.2759,True,False,True,False,0.5531914893617021,0.5531914893617021
TIC198485881,12.982641000000001,77.661716,,True,False,True,True,1.0,1.0
TIC232967666,13.21016,71.618138,210.6327,True,False,True,False,0.526595744680851,0.526595744680851
TIC232971294,13.296176,71.721051,179.1826,True,False,True,False,0.5372340425531915,0.5372340425531915
TIC298073824,13.422454,75.982713,310.7134,True,False,True,False,0.925531914893617,0.925531914893617
TIC219436394,13.706230999999999,76.647981,164.7609,True,False,True,True,1.0,1.0
TIC219462190,13.870197000000001,75.165261,132.0428,True,False,True,False,0.8404255319148937,0.8404255319148937
TIC288132261,13.965620999999999,79.583322,155.642,True,False,True,True,1.0,1.0
TIC219466784,13.990560999999998,74.151228,115.7943,True,False,True,False,0.7446808510638298,0.7446808510638298
TIC160045097,14.205251,74.41179100000001,,True,False,True,False,0.7712765957446809,0.7712765957446809
TIC158002130,14.303713,82.193773,72.174,True,False,True,True,1.0,1.0
TIC288185138,14.856097,82.95225400000001,225.8866,True,True,True,True,1.0,1.0
TIC159244568,15.145332000000002,82.446925,151.7658,True,False,True,True,1.0,1.0
TIC232540264,15.191191,71.841296,74.0291,True,False,True,False,0.5851063829787234,0.5851063829787234
TIC160440924,15.787792000000001,77.23264300000001,366.3406,True,False,True,True,1.0,1.0
TIC272758199,15.821139000000002,71.442944,,True,False,True,False,0.574468085106383,0.574468085106383
TIC160487753,15.868787,74.40674200000001,807.3632,True,False,True,False,0.8085106382978723,0.8085106382978723
TIC160491359,15.934460999999999,73.07392,95.7799,True,False,True,False,0.6914893617021277,0.6914893617021277
TIC230088370,16.490446,71.505872,298.0981,True,False,True,False,0.5904255319148937,0.5904255319148937
TIC159510109,16.502316,80.30775600000001,97.6134,True,False,True,True,1.0,1.0
TIC233009109,16.550216,72.925534,178.5459,True,False,True,False,0.6968085106382979,0.6968085106382979
TIC233497719,16.634666,77.756401,574.9109,True,False,True,True,1.0,1.0
TIC367739494,16.692199,80.04588000000001,142.0152,True,False,True,True,1.0,1.0
TIC233500935,16.715993,76.449587,,True,False,True,True,1.0,1.0
TIC230127302,16.741058,70.429992,,True,False,True,False,0.526595744680851,0.526595744680851
TIC356016119,16.942836,70.027316,,True,False,True,False,0.5106382978723404,0.5106382978723404
TIC367753709,17.026714000000002,79.067126,,True,False,True,True,1.0,1.0
TIC219854185,17.118043,70.23848100000001,326.2962,True,False,True,False,0.526595744680851,0.526595744680851
TIC237108272,17.14263,78.587055,,True,False,True,True,1.0,1.0
TIC219857012,17.155258,71.876672,73.0412,True,False,True,False,0.6329787234042553,0.6329787234042553
TIC219860288,17.183155,71.87220400000001,41.3249,True,False,True,False,0.6329787234042553,0.6329787234042553
TIC441732151,17.191782999999997,72.13555500000001,,True,False,True,False,0.648936170212766,0.648936170212766
TIC441739020,17.267817,72.161181,168.8847,True,False,True,False,0.6542553191489362,0.6542553191489362
TIC441738827,17.283635999999998,72.747023,,True,False,True,False,0.6968085106382979,0.6968085106382979
TIC441739871,17.304278,74.30272099999999,,True,False,True,False,0.8297872340425532,0.8297872340425532
TIC441765914,17.424993,75.88228000000001,127.168,True,False,True,True,1.0,1.0
TIC441798995,17.60986,77.126216,,True,False,True,True,1.0,1.0
TIC441797803,17.625263,73.261193,342.7945,True,False,True,False,0.7446808510638298,0.7446808510638298
TIC233211762,17.779072,70.784502,152.008,True,False,True,False,0.574468085106383,0.574468085106383
TIC229586455,18.091235,75.145628,,True,False,True,False,0.9308510638297872,0.9308510638297872
TIC288516853,18.233154000000003,80.658462,157.4878,True,False,True,True,1.0,1.0
TIC229608594,18.300804,74.466535,84.3789,True,False,True,False,0.8670212765957447,0.8670212765957447
TIC406855039,18.324701,71.248626,240.3211,True,False,True,False,0.6170212765957447,0.6170212765957447
TIC356867115,18.390836,71.581748,91.1087,True,False,True,False,0.6382978723404256,0.6382978723404256
TIC367855829,18.457876000000002,73.264575,173.1242,True,False,True,False,0.7659574468085106,0.7659574468085106
TIC288631580,18.528346,82.305949,122.9302,True,False,True,True,1.0,1.0
TIC229715760,18.599301999999998,70.16075699999999,,True,False,True,False,0.5531914893617021,0.5531914893617021
TIC288636342,18.630957000000002,78.61111,344.4712,True,False,True,True,1.0,1.0
TIC288636599,18.649632999999998,79.23835,376.3643,True,False,True,True,1.0,1.0
TIC229742722,18.655451,69.522873,225.8458,True,False,True,False,0.5212765957446809,0.5212765957446809
TIC229747848,18.688445,70.290054,148.0977,True,False,True,False,0.5638297872340425,0.5638297872340425
TIC229650439,18.728251999999998,74.937833,110.8672,True,False,True,False,0.925531914893617,0.925531914893617
TIC424391516,18.771843,75.30336700000001,244.242,True,False,True,False,0.9627659574468085,0.9627659574468085
TIC288735205,18.806678,79.256476,,True,False,True,True,1.0,1.0
TIC229770036,18.811557,70.840191,102.0096,True,False,True,False,0.601063829787234,0.601063829787234
TIC394029948,18.815309,78.568946,183.2878,True,False,True,True,1.0,1.0
TIC394050135,18.853017,82.245414,339.2706,True,False,True,True,1.0,1.0
TIC229781583,18.902369,69.633534,,True,False,True,False,0.5319148936170213,0.5319148936170213
TIC229787062,18.934845000000003,70.25412,,True,False,True,False,0.5691489361702128,0.5691489361702128
TIC229791084,18.962927,69.570837,568.214,True,False,True,False,0.526595744680851,0.526595744680851
TIC235678745,19.042435,75.418514,41.9685,True,False,True,False,0.9840425531914894,0.9840425531914894
TIC362220495,19.081864000000003,79.755949,34.2353,True,False,True,True,1.0,1.0
TIC1718201850,19.116437,71.712195,,True,False,True,False,0.6648936170212766,0.6648936170212766
TIC258777137,19.116476000000002,71.712375,,True,False,True,False,0.6648936170212766,0.6648936170212766
TIC258777134,19.116525,71.7136,,True,False,True,False,0.6648936170212766,0.6648936170212766
TIC235683377,19.152807,74.174276,41.215,True,False,True,False,0.8617021276595744,0.8617021276595744
TIC420112589,19.344932,73.19510799999999,30.5482,True,False,True,False,0.776595744680851,0.776595744680851
TIC420112587,19.344932,73.195993,30.5642,True,False,True,False,0.7819148936170213,0.7819148936170213
TIC235905185,19.391828,78.75421700000001,,True,False,True,True,1.0,1.0
TIC259126549,19.427457,69.11298000000001,,True,False,True,False,0.5159574468085106,0.5159574468085106
TIC259172391,19.517849,71.49735799999999,216.5909,True,False,True,False,0.6595744680851063,0.6595744680851063
TIC237201858,19.521554000000002,72.538317,235.0895,True,False,True,False,0.7340425531914894,0.7340425531914894
TIC237200747,19.5355,74.89107299999999,,True,False,True,False,0.9361702127659575,0.9361702127659575
TIC235937532,19.594307,81.55479100000001,613.6852,True,False,True,True,1.0,1.0
TIC237211410,19.62507,74.78231,244.3375,True,False,True,False,0.9308510638297872,0.9308510638297872
TIC235943205,19.728516,78.72591899999999,190.2226,True,False,True,True,1.0,1.0
TIC237222864,19.749641,74.06285799999999,66.0759,True,False,True,False,0.8617021276595744,0.8617021276595744
TIC258389327,19.780686,70.071943,,True,False,True,False,0.574468085106383,0.574468085106383
TIC237232044,19.826579000000002,76.139178,86.0163,True,False,True,True,1.0,1.0
TIC280031353,19.827745999999998,68.883354,,True,False,True,False,0.5106382978723404,0.5106382978723404
TIC402898317,20.182502,70.869653,82.9972,True,False,True,False,0.6329787234042553,0.6329787234042553
TIC258514800,20.364995,70.94370500000001,125.9192,True,False,True,False,0.6436170212765957,0.6436170212765957
TIC364074068,20.421917999999998,77.63641199999999,,True,False,True,True,1.0,1.0
TIC387260717,20.623255,70.954088,161.8359,True,False,True,False,0.648936170212766,0.648936170212766
TIC315755496,20.688758,82.43530200000001,593.4718,True,False,True,True,1.0,1.0
TIC387413037,20.749102,69.15180699999999,308.4706,True,False,True,False,0.5425531914893617,0.5425531914893617
TIC387527558,20.821804999999998,70.796604,,True,False,True,False,0.6436170212765957,0.6436170212765957
TIC364186197,20.900736,72.580646,140.0482,True,False,True,False,0.7659574468085106,0.7659574468085106
TIC367102581,20.951269,78.67491700000001,306.2131,True,False,True,True,1.0,1.0
TIC387834907,21.044607,70.0803,,True,False,True,False,0.6063829787234043,0.6063829787234043
TIC265146266,21.126179999999998,74.383252,,True,False,True,False,0.925531914893617,0.925531914893617
TIC367099243,21.181946,72.615356,246.0448,True,False,True,False,0.776595744680851,0.776595744680851
TIC321688498,21.439972,68.64053100000001,,True,False,True,False,0.5319148936170213,0.5319148936170213
TIC322054600,21.591345,68.987307,307.0876,True,False,True,False,0.5531914893617021,0.5531914893617021
TIC322062001,21.615924,69.283946,,True,False,True,False,0.5691489361702128,0.5691489361702128
TIC322202434,21.688337,68.807202,134.0123,True,False,True,False,0.5478723404255319,0.5478723404255319
TIC264544388,21.762559,79.613939,135.439,True,False,True,True,1.0,1.0
TIC350132371,21.939424,68.998035,154.4354,True,False,True,False,0.5638297872340425,0.5638297872340425
TIC470127886,22.074521,81.565951,278.319,True,False,True,True,1.0,1.0
TIC470159478,22.220782,81.739729,,True,False,True,True,1.0,1.0
TIC375850439,22.419669,67.971168,828.2945,True,False,True,False,0.5212765957446809,0.5212765957446809
TIC376637093,22.672307999999997,69.503731,248.8243,True,False,True,False,0.6063829787234043,0.6063829787234043
TIC376682699,22.690151,69.07444699999999,552.7916,True,False,True,False,0.5851063829787234,0.5851063829787234
TIC376838000,22.72731,69.091928,457.624,True,False,True,False,0.5851063829787234,0.5851063829787234
TIC377144784,22.829595,68.251071,400.7374,True,False,True,False,0.5425531914893617,0.5425531914893617
TIC427320001,22.923622,70.29729,86.3208,True,False,True,False,0.6595744680851063,0.6595744680851063
