Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC407394748,0.361377,77.880071,,TRUE,TRUE,TRUE,FALSE,1,0.892
TIC468574941,1.078996,74.331306,292.0902,TRUE,FALSE,TRUE,FALSE,0.917808219,0.568
TIC435680451,1.194334,79.165492,175.0731,TRUE,TRUE,TRUE,TRUE,1,1
TIC395393265,1.755931,77.790123,305.6422,TRUE,TRUE,TRUE,FALSE,1,0.904
TIC396562848,2.955925,76.551405,18.2372,TRUE,TRUE,TRUE,FALSE,1,0.78
TIC420645189,3.224695,75.268379,159.2179,TRUE,FALSE,TRUE,FALSE,0.917808219,0.672
TIC103195323,4.171532,75.170931,382.8337,TRUE,FALSE,TRUE,FALSE,0.894977169,0.68
TIC103448870,4.455666,73.023689,125.3054,TRUE,FALSE,TRUE,FALSE,0.808219178,0.544
TIC142090065,5.271567,79.737727,,TRUE,TRUE,TRUE,TRUE,1,1
TIC142117976,5.416015,79.74934,110.5278,TRUE,TRUE,TRUE,TRUE,1,1
TIC445805961,6.285589,76.21102,81.418,TRUE,FALSE,TRUE,FALSE,0.913242009,0.804
TIC138168780,6.31953,73.827567,237.062,TRUE,FALSE,TRUE,FALSE,0.799086758,0.624
TIC137500798,8.842334,82.92712,338.7878,TRUE,TRUE,TRUE,TRUE,1,1
TIC302518439,8.941336,72.533275,,TRUE,FALSE,TRUE,FALSE,0.707762557,0.592
TIC219698776,9.048843,71.636416,43.2404,TRUE,FALSE,TRUE,FALSE,0.684931507,0.548
TIC142748283,10.107913,74.827211,,TRUE,FALSE,TRUE,FALSE,0.767123288,0.756
TIC103633672,10.148232,70.394557,84.7838,TRUE,FALSE,TRUE,FALSE,0.643835616,0.512
TIC349827430,10.793937,71.655732,96.7867,TRUE,FALSE,TRUE,FALSE,0.652968037,0.58
TIC372757221,10.859545,81.322175,222.3309,TRUE,TRUE,TRUE,TRUE,1,1
TIC147950620,11.188097,69.964773,150.3149,TRUE,FALSE,TRUE,FALSE,0.616438356,0.508
TIC147951030,11.19102,71.540754,138.858,TRUE,FALSE,TRUE,FALSE,0.643835616,0.58
TIC900715901,11.599103,75.546629,,TRUE,FALSE,TRUE,FALSE,0.771689498,0.836
TIC365938305,12.048433,74.061009,93.4798,TRUE,FALSE,TRUE,FALSE,0.698630137,0.736
