Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE),,,,,,,
TIC317397615,23.319755,75.017864,,,,,,,,,,,1,TIC317507345,23.411648,77.627113
TIC428988981,23.350209,79.441782,,,,,,,,,,,2,TIC317597583,23.467778,75.552607
TIC317507345,23.411648,77.627113,,,,,,,,,,,3,TIC427730490,23.484982,71.506474
TIC317597583,23.467778,75.552607,,,,,,,,,,,4,TIC367858035,23.649439,75.685232
TIC427730490,23.484982,71.506474,,,,,,,,,,,5,TIC407394748,0.361377,77.880071
TIC367858035,23.649439,75.685232,,,,,,,,,,,6,TIC435680451,1.194334,79.165492
TIC407394748,0.361377,77.880071,,,,,,,,,,,7,TIC395393265,1.755931,77.790123
TIC435680451,1.194334,79.165492,,,,,,,,,,,8,TIC396562848,2.955925,76.551405
TIC395393265,1.755931,77.790123,,,,,,,,,,,9,TIC142090065,5.271567,79.737727
TIC396562848,2.955925,76.551405,,,,,,,,,,,10,TIC142117976,5.416015,79.74934
TIC142090065,5.271567,79.737727,,,,,,,,,,,11,TIC445805961,6.285589,76.21102
TIC142117976,5.416015,79.74934,93.4798,TRUE,FALSE,TRUE,FALSE,0.826484018,0.504,,,,,,,
TIC445805961,6.285589,76.21102,193.0278,TRUE,TRUE,TRUE,FALSE,1,0.792,,,,,,,
TIC198485881,12.982641,77.661716,,TRUE,TRUE,TRUE,FALSE,1,0.844,,,,,,,
TIC298073824,13.422454,75.982713,310.7134,TRUE,FALSE,TRUE,FALSE,0.894977169,0.672,,,,,,,
TIC219436394,13.706231,76.647981,164.7609,TRUE,FALSE,TRUE,FALSE,0.931506849,0.74,,,,,,,
TIC219462190,13.870197,75.165261,132.0428,TRUE,FALSE,TRUE,FALSE,0.840182648,0.612,,,,,,,
TIC288132261,13.965621,79.583322,155.642,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC219466784,13.990561,74.151228,115.7943,TRUE,FALSE,TRUE,FALSE,0.794520548,0.544,,,,,,,
TIC160045097,14.205251,74.411791,,TRUE,FALSE,TRUE,FALSE,0.799086758,0.564,,,,,,,
TIC158002130,14.303713,82.193773,72.174,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC288185138,14.856097,82.952254,225.8866,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC159244568,15.145332,82.446925,151.7658,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC160440924,15.787792,77.232643,366.3406,TRUE,FALSE,TRUE,FALSE,0.940639269,0.84,,,,,,,
TIC160487753,15.868787,74.406742,807.3632,TRUE,FALSE,TRUE,FALSE,0.767123288,0.592,,,,,,,
TIC160491359,15.934461,73.07392,95.7799,TRUE,FALSE,TRUE,FALSE,0.721461187,0.512,,,,,,,
TIC159510109,16.502316,80.307756,97.6134,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC233009109,16.550216,72.925534,178.5459,TRUE,FALSE,TRUE,FALSE,0.703196347,0.512,,,,,,,
TIC233497719,16.634666,77.756401,574.9109,TRUE,FALSE,TRUE,FALSE,0.97260274,0.92,,,,,,,
TIC367739494,16.692199,80.04588,142.0152,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC233500935,16.715993,76.449587,,TRUE,FALSE,TRUE,FALSE,0.858447489,0.772,,,,,,,
TIC367753709,17.026714,79.067126,,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC237108272,17.14263,78.587055,,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC441738827,17.283636,72.747023,,TRUE,FALSE,TRUE,FALSE,0.684931507,0.516,,,,,,,
TIC441739871,17.304278,74.302721,,TRUE,FALSE,TRUE,FALSE,0.735159817,0.608,,,,,,,
TIC441765914,17.424993,75.88228,127.168,TRUE,FALSE,TRUE,FALSE,0.812785388,0.732,,,,,,,
TIC441798995,17.60986,77.126216,,TRUE,FALSE,TRUE,FALSE,0.894977169,0.856,,,,,,,
TIC441797803,17.625263,73.261193,342.7945,TRUE,FALSE,TRUE,FALSE,0.694063927,0.548,,,,,,,
TIC229586455,18.091235,75.145628,,TRUE,FALSE,TRUE,FALSE,0.757990868,0.684,,,,,,,
TIC288516853,18.233154,80.658462,157.4878,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC229608594,18.300804,74.466535,84.3789,TRUE,FALSE,TRUE,FALSE,0.726027397,0.636,,,,,,,
TIC367855829,18.457876,73.264575,173.1242,TRUE,FALSE,TRUE,FALSE,0.680365297,0.564,,,,,,,
TIC288631580,18.528346,82.305949,122.9302,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC288636342,18.630957,78.61111,344.4712,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC288636599,18.649633,79.23835,376.3643,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC229650439,18.728252,74.937833,110.8672,TRUE,FALSE,TRUE,FALSE,0.735159817,0.676,,,,,,,
TIC424391516,18.771843,75.303367,244.242,TRUE,FALSE,TRUE,FALSE,0.753424658,0.708,,,,,,,
TIC288735205,18.806678,79.256476,,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC394029948,18.815309,78.568946,183.2878,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC394050135,18.853017,82.245414,339.2706,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC235678745,19.042435,75.418514,41.9685,TRUE,FALSE,TRUE,FALSE,0.753424658,0.72,,,,,,,
TIC362220495,19.081864,79.755949,34.2353,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC235683377,19.152807,74.174276,41.215,TRUE,FALSE,TRUE,FALSE,0.698630137,0.632,,,,,,,
TIC420112587,19.344932,73.195993,30.5642,TRUE,FALSE,TRUE,FALSE,0.662100457,0.576,,,,,,,
TIC420112589,19.344932,73.195108,30.5482,TRUE,FALSE,TRUE,FALSE,0.662100457,0.576,,,,,,,
TIC235905185,19.391828,78.754217,,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC237201858,19.521554,72.538317,235.0895,TRUE,FALSE,TRUE,FALSE,0.639269406,0.54,,,,,,,
TIC237200747,19.5355,74.891073,,TRUE,FALSE,TRUE,FALSE,0.721461187,0.688,,,,,,,
TIC235937532,19.594307,81.554791,613.6852,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC237211410,19.62507,74.78231,244.3375,TRUE,FALSE,TRUE,FALSE,0.712328767,0.68,,,,,,,
TIC235943205,19.728516,78.725919,190.2226,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC237222864,19.749641,74.062858,66.0759,TRUE,FALSE,TRUE,FALSE,0.680365297,0.636,,,,,,,
TIC237232044,19.826579,76.139178,86.0163,TRUE,FALSE,TRUE,FALSE,0.780821918,0.792,,,,,,,
TIC364074068,20.421918,77.636412,,TRUE,FALSE,TRUE,FALSE,0.885844749,0.964,,,,,,,
TIC315755496,20.688758,82.435302,593.4718,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC364186197,20.900736,72.580646,140.0482,TRUE,FALSE,TRUE,FALSE,0.611872146,0.568,,,,,,,
TIC367102581,20.951269,78.674917,306.2131,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC265146266,21.12618,74.383252,,TRUE,FALSE,TRUE,FALSE,0.666666667,0.68,,,,,,,
TIC367099243,21.181946,72.615356,246.0448,TRUE,FALSE,TRUE,FALSE,0.607305936,0.572,,,,,,,
TIC264544388,21.762559,79.613939,135.439,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC470127886,22.074521,81.565951,278.319,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC470159478,22.220782,81.739729,,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
TIC417705690,23.240502,76.93432,131.0341,TRUE,FALSE,TRUE,FALSE,0.771689498,0.928,,,,,,,
,,,428.449,TRUE,FALSE,TRUE,FALSE,0.652968037,0.76,,,,,,,
,,,106.1301,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,,
,,,262.4465,TRUE,FALSE,TRUE,TRUE,0.831050228,1,,,,,,,
,,,66.2195,TRUE,FALSE,TRUE,FALSE,0.675799087,0.804,,,,,,,
,,,145.3235,TRUE,FALSE,TRUE,FALSE,0.538812785,0.556,,,,,,,
,,,96.8908,TRUE,FALSE,TRUE,FALSE,0.680365297,0.82,,,,,,,
