target name,ever observable,always observable,fraction of time observable
TIC367102581,True,True,1.0
TIC470159478,True,True,1.0
TIC137500798,True,True,1.0
TIC317597583,True,True,1.0
TIC159244568,True,True,1.0
TIC367858035,True,True,1.0
TIC288185138,True,True,1.0
TIC288516853,True,True,1.0
TIC288636599,True,True,1.0
TIC367753709,True,True,1.0
TIC315755496,True,True,1.0
TIC364074068,True,True,1.0
TIC372757221,True,True,1.0
TIC317507345,True,True,1.0
TIC470127886,True,True,1.0
TIC237108272,True,True,1.0
TIC362220495,True,True,1.0
TIC367739494,True,True,1.0
TIC235905185,True,True,1.0
TIC441798995,True,True,1.0
TIC394029948,True,True,1.0
TIC394050135,True,True,1.0
TIC428988981,True,True,1.0
TIC198485881,True,True,1.0
TIC142090065,True,True,1.0
TIC417705690,True,True,1.0
TIC159510109,True,True,1.0
TIC160268701,True,True,1.0
TIC233497719,True,True,1.0
TIC288132261,True,True,1.0
TIC233500935,True,True,1.0
TIC237232044,True,True,1.0
TIC288631580,True,True,1.0
TIC235943205,True,True,1.0
TIC235937532,True,True,1.0
TIC158002130,True,True,1.0
TIC435680451,True,True,1.0
TIC288636342,True,True,1.0
TIC160440924,True,True,1.0
TIC142117976,True,True,1.0
TIC288735205,True,True,1.0
TIC264544388,True,True,1.0
TIC317397615,True,False,0.988
TIC219436394,True,False,0.968
TIC441765914,True,False,0.96
TIC235678745,True,False,0.948
TIC424391516,True,False,0.936
TIC237200747,True,False,0.916
TIC229586455,True,False,0.912
TIC237211410,True,False,0.912
TIC265146266,True,False,0.908
TIC229650439,True,False,0.908
TIC298073824,True,False,0.904
TIC395393265,True,False,0.904
TIC407394748,True,False,0.892
TIC229608594,True,False,0.868
TIC237222864,True,False,0.864
TIC235683377,True,False,0.86
TIC219462190,True,False,0.844
TIC441739871,True,False,0.84
TIC900715901,True,False,0.836
TIC160487753,True,False,0.82
TIC420112589,True,False,0.804
TIC445805961,True,False,0.804
TIC420112587,True,False,0.804
TIC367099243,True,False,0.8
TIC364186197,True,False,0.796
TIC160045097,True,False,0.796
TIC367855829,True,False,0.792
TIC427730490,True,False,0.784
TIC441797803,True,False,0.78
TIC396562848,True,False,0.78
TIC219466784,True,False,0.772
TIC237201858,True,False,0.772
TIC142748283,True,False,0.756
TIC441738827,True,False,0.744
TIC160491359,True,False,0.74
TIC233009109,True,False,0.74
TIC365938305,True,False,0.736
TIC258777134,True,False,0.72
TIC258777137,True,False,0.72
TIC1718201850,True,False,0.72
TIC427320001,True,False,0.72
TIC427654774,True,False,0.72
TIC259172391,True,False,0.716
TIC441739020,True,False,0.712
TIC441732151,True,False,0.708
TIC387260717,True,False,0.708
TIC387527558,True,False,0.708
TIC258514800,True,False,0.704
TIC356867115,True,False,0.704
TIC402898317,True,False,0.7
TIC219860288,True,False,0.696
TIC219857012,True,False,0.696
TIC406855039,True,False,0.684
TIC366074069,True,False,0.684
TIC387834907,True,False,0.68
TIC376637093,True,False,0.68
TIC103195323,True,False,0.68
TIC229770036,True,False,0.676
TIC420645189,True,False,0.672
TIC230088370,True,False,0.668
TIC376838000,True,False,0.668
TIC376682699,True,False,0.664
TIC265460043,True,False,0.66
TIC232540264,True,False,0.66
TIC258389327,True,False,0.656
TIC233211762,True,False,0.656
TIC322062001,True,False,0.656
TIC272758199,True,False,0.652
TIC229787062,True,False,0.652
TIC350132371,True,False,0.648
TIC229747848,True,False,0.648
TIC322054600,True,False,0.644
TIC422656370,True,False,0.644
TIC229715760,True,False,0.64
TIC377144784,True,False,0.636
TIC154568734,True,False,0.636
TIC387413037,True,False,0.636
TIC322202434,True,False,0.636
TIC321688498,True,False,0.628
TIC232971294,True,False,0.624
TIC229791084,True,False,0.624
TIC229781583,True,False,0.624
TIC138168780,True,False,0.624
TIC219854185,True,False,0.62
TIC375850439,True,False,0.62
TIC230127302,True,False,0.62
TIC229742722,True,False,0.616
TIC232967666,True,False,0.616
TIC259126549,True,False,0.612
TIC280031353,True,False,0.608
TIC356016119,True,False,0.608
TIC427761355,True,False,0.604
TIC388076005,True,False,0.6
TIC237104103,True,False,0.6
TIC219015370,True,False,0.592
TIC302518439,True,False,0.592
TIC219850915,True,False,0.588
TIC147951030,True,False,0.58
TIC349827430,True,False,0.58
TIC232967440,True,False,0.576
TIC232982938,True,False,0.576
TIC259129875,True,False,0.572
TIC372264750,True,False,0.572
TIC468574941,True,False,0.568
TIC219852882,True,False,0.564
TIC377739433,True,False,0.564
TIC230087585,True,False,0.56
TIC356700488,True,False,0.556
TIC230075227,True,False,0.552
TIC264303333,True,False,0.552
TIC321857016,True,False,0.548
TIC219698776,True,False,0.548
TIC237099296,True,False,0.548
TIC103448870,True,False,0.544
TIC272679240,True,False,0.544
TIC269701147,True,False,0.54
TIC387259626,True,False,0.536
TIC455962313,True,False,0.536
TIC264171144,True,False,0.536
TIC219879302,True,False,0.536
TIC219852584,True,False,0.528
TIC233182695,True,False,0.524
TIC258829450,True,False,0.524
TIC258510872,True,False,0.52
TIC316468545,True,False,0.52
TIC270238522,True,False,0.516
TIC365733349,True,False,0.512
TIC103633672,True,False,0.512
TIC236934937,True,False,0.512
TIC232982558,True,False,0.512
TIC258871793,True,False,0.508
TIC147950620,True,False,0.508
TIC405794804,True,False,0.508
TIC258801269,True,False,0.504
TIC229750058,True,False,0.5
TIC434718964,True,False,0.5
TIC153951307,True,False,0.5
TIC259168516,True,False,0.5
TIC154089169,True,False,0.5
TIC230387153,True,False,0.488
TIC236887394,True,False,0.488
TIC236934268,True,False,0.488
TIC272672133,True,False,0.488
TIC272635712,True,False,0.484
TIC272049972,True,False,0.48
TIC310981412,True,False,0.472
TIC365673804,True,False,0.472
TIC335483600,True,False,0.472
TIC334811204,True,False,0.472
TIC229490898,True,False,0.468
TIC71347873,True,False,0.468
TIC103633434,True,False,0.464
TIC153976959,True,False,0.46
TIC272625214,True,False,0.46
TIC229510866,True,False,0.456
TIC230086768,True,False,0.456
TIC229536616,True,False,0.456
TIC422756130,True,False,0.456
TIC459969957,True,False,0.452
TIC269238073,True,False,0.452
TIC302773669,True,False,0.452
TIC470852531,True,False,0.448
TIC233617847,True,False,0.448
TIC289539327,True,False,0.448
TIC470709084,True,False,0.448
TIC458478250,True,False,0.448
TIC408636441,True,False,0.444
TIC233602827,True,False,0.444
TIC233721037,True,False,0.444
TIC352764091,True,False,0.444
TIC230386397,True,False,0.44
TIC229938290,True,False,0.44
TIC378291076,True,False,0.44
TIC236714379,True,False,0.44
TIC289590465,True,False,0.436
TIC233681149,True,False,0.436
TIC230386259,True,False,0.432
TIC233684822,True,False,0.432
TIC148914726,True,False,0.428
TIC229940491,True,False,0.428
TIC147576037,True,False,0.424
TIC459970307,True,False,0.42
TIC219778329,True,False,0.42
TIC233059608,True,False,0.42
TIC272828463,True,False,0.416
TIC459978312,True,False,0.416
TIC230375747,True,False,0.416
TIC378355116,True,False,0.416
TIC198241702,True,False,0.412
TIC232976128,True,False,0.412
TIC233720539,True,False,0.408
TIC336740528,True,False,0.408
TIC233068569,True,False,0.404
TIC229400092,True,False,0.4
TIC269509393,True,False,0.4
TIC153949511,True,False,0.396
TIC307956397,True,False,0.396
TIC237071229,True,False,0.396
TIC71431780,True,False,0.392
TIC467179528,True,False,0.392
TIC377420580,True,False,0.392
TIC233541860,True,False,0.392
TIC275501623,True,False,0.392
TIC410528770,True,False,0.388
TIC237086564,True,False,0.388
TIC233120979,True,False,0.388
TIC233680651,True,False,0.384
TIC229944666,True,False,0.384
TIC219762508,True,False,0.384
TIC371673488,True,False,0.384
TIC219821826,True,False,0.38
TIC233684293,True,False,0.38
TIC341544930,True,False,0.38
TIC198211976,True,False,0.38
TIC232612416,True,False,0.38
TIC230017324,True,False,0.376
TIC233688779,True,False,0.376
TIC230017325,True,False,0.376
TIC198206613,True,False,0.376
TIC287080092,True,False,0.372
TIC395142888,True,False,0.368
TIC202426247,True,False,0.368
TIC414870287,True,False,0.368
TIC233078665,True,False,0.368
TIC329145325,True,False,0.368
TIC198186769,True,False,0.36
TIC202504234,True,False,0.36
TIC138588540,True,False,0.36
TIC1884091865,True,False,0.356
TIC229455001,True,False,0.356
TIC142276270,True,False,0.356
TIC149833117,True,False,0.352
TIC230001847,True,False,0.352
TIC355867695,True,False,0.348
TIC256621916,True,False,0.348
TIC233066156,True,False,0.344
TIC229951289,True,False,0.344
TIC376353509,True,False,0.344
TIC233735068,True,False,0.344
TIC329148988,True,False,0.344
TIC345143460,True,False,0.34
TIC415741431,True,False,0.34
TIC277507814,True,False,0.34
TIC219751469,True,False,0.336
TIC408618999,True,False,0.336
TIC230377505,True,False,0.332
TIC314338017,True,False,0.332
TIC331034236,True,False,0.332
TIC219776325,True,False,0.328
TIC99834717,True,False,0.328
TIC198213332,True,False,0.328
TIC233390838,True,False,0.328
TIC233633993,True,False,0.328
TIC233087860,True,False,0.328
TIC142381532,True,False,0.328
TIC198187049,True,False,0.324
TIC328750515,True,False,0.324
TIC64553698,True,False,0.324
TIC233071822,True,False,0.324
TIC283722336,True,False,0.324
TIC289580577,True,False,0.32
TIC233071926,True,False,0.32
TIC243335710,True,False,0.32
TIC198178505,True,False,0.316
TIC287196418,True,False,0.316
TIC233047097,True,False,0.316
TIC236815160,True,False,0.316
TIC314835525,True,False,0.312
TIC329277372,True,False,0.312
TIC468828873,True,False,0.308
TIC287139872,True,False,0.308
TIC276380902,True,False,0.308
TIC377191482,True,False,0.304
TIC343628284,True,False,0.304
TIC377293776,True,False,0.304
TIC233951353,True,False,0.3
TIC318746829,True,False,0.3
TIC352239069,True,False,0.296
TIC396740648,True,False,0.296
TIC284564230,True,False,0.292
TIC165530380,True,False,0.292
TIC462615350,True,False,0.288
TIC313761775,True,False,0.288
TIC142394656,True,False,0.288
TIC198212955,True,False,0.288
TIC319068154,True,False,0.288
TIC267561446,True,False,0.276
TIC328167090,True,False,0.272
TIC343442463,True,False,0.272
TIC142387023,True,False,0.272
TIC285048486,True,False,0.272
TIC421308357,True,False,0.272
TIC298666530,True,False,0.272
TIC276360911,True,False,0.268
TIC400430915,True,False,0.268
TIC405763009,True,False,0.264
TIC64836837,True,False,0.264
TIC416195870,True,False,0.26
TIC233953967,True,False,0.26
TIC284477310,True,False,0.256
TIC198456933,True,False,0.252
TIC375506058,True,False,0.252
